Tensegrity Inverse Kinematics Results
Parameters:
Dimensionality, Timestamp, Nodes, Cables, Bars, Computation Method
2, 16-May-2019_11-53-49, 7, 4, 5, rigid body
Inputs: row = timestep and col = cable no.,Col > s = states,States are x y rot (per body)
1.4711,8.5663,0.91915,-1.9979,0,0,0,0.2763,0.18828,0.22369
1.326,8.7168,0.98561,-2.0527,0,0,0,0.27594,0.18984,0.23363
1.1812,8.867,1.0521,-2.1072,0,0,0,0.27556,0.19141,0.24357
1.0367,9.017,1.1187,-2.1614,0,0,0,0.27516,0.19296,0.25351
0.89271,9.1667,1.1853,-2.2154,0,0,0,0.27475,0.19452,0.26346
0.74907,9.3161,1.252,-2.269,0,0,0,0.27433,0.19607,0.2734
0.60584,9.4651,1.3187,-2.3224,0,0,0,0.27388,0.19761,0.28334
0.46302,9.6139,1.3855,-2.3755,0,0,0,0.27343,0.19916,0.29328
0.32061,9.7623,1.4522,-2.4283,0,0,0,0.27295,0.20069,0.30322
0.17862,9.9103,1.519,-2.4808,0,0,0,0.27247,0.20223,0.31317
0.03707,10.058,1.5858,-2.533,0,0,0,0.27196,0.20375,0.32311
-0.10405,10.205,1.6527,-2.5849,0,0,0,0.27145,0.20527,0.33305
-0.24472,10.352,1.7195,-2.6364,0,0,0,0.27091,0.20679,0.34299
-0.38494,10.498,1.7863,-2.6877,0,0,0,0.27036,0.2083,0.35293
-0.52471,10.644,1.8531,-2.7386,0,0,0,0.2698,0.20981,0.36287
-0.66402,10.789,1.9199,-2.7892,0,0,0,0.26922,0.21131,0.37282
-0.80286,10.933,1.9867,-2.8395,0,0,0,0.26863,0.2128,0.38276
-0.94122,11.077,2.0535,-2.8895,0,0,0,0.26802,0.21429,0.3927
